ms,pos_z,vel_z,accel_z
646,3295.0588,-63.351467,-9.80665
647,3294.4243,-63.449535,-9.80665
648,3293.7888,-63.547604,-9.80665
649,3293.1523,-63.64567,-9.80665
650,3292.515,-63.74374,-9.80665
651,3291.8765,-63.84181,-9.80665
652,3291.237,-63.939877,-9.80665
653,3290.5967,-64.03794,-9.80665
654,3289.9553,-64.13601,-9.80665
655,3289.313,-64.23408,-9.80665
656,3288.6697,-64.332146,-9.80665
657,3288.0254,-64.430214,-9.80665
658,3287.3801,-64.52828,-9.80665
659,3286.734,-64.62635,-9.80665
660,3286.0867,-64.72442,-9.80665
661,3285.4385,-64.82249,-9.80665
662,3284.7893,-64.920555,-9.80665
663,3284.1392,-65.01862,-9.80665
664,3283.488,-65.11669,-9.80665
665,3282.836,-65.21476,-9.80665
666,3282.1829,-65.31283,-9.80665
667,3281.5288,-65.4109,-9.80665
668,3280.8738,-65.508965,-9.80665
669,3280.2178,-65.60703,-9.80665
670,3279.5608,-65.7051,-9.80665
671,3278.9028,-65.80317,-9.80665
672,3278.244,-65.90124,-9.80665
673,3277.584,-65.999306,-9.80665
674,3276.923,-66.097374,-9.80665
675,3276.2612,-66.19544,-9.80665
676,3275.5984,-66.29351,-9.80665
677,3274.9346,-66.39158,-9.80665
678,3274.2698,-66.48965,-9.80665
679,3273.604,-66.587715,-9.80665
680,3272.9373,-66.68578,-9.80665
681,3272.2695,-66.78385,-9.80665
682,3271.6008,-66.88192,-9.80665
683,3270.931,-66.97999,-9.80665
684,3270.26,-67.07806,-9.80665
685,3269.5881,-67.176125,-9.80665
686,3268.9153,-67.27419,-9.80665
687,3268.2415,-67.37226,-9.80665
688,3267.5667,-67.47033,-9.80665
689,3266.8909,-67.5684,-9.80665
690,3266.214,-67.666466,-9.80665
691,3265.5364,-67.764534,-9.80665
692,3264.8577,-67.8626,-9.80665
693,3264.178,-67.96067,-9.80665
694,3263.4973,-68.05874,-9.80665
695,3262.8157,-68.15681,-9.80665
696,3262.133,-68.254875,-9.80665
697,3261.4495,-68.35294,-9.80665
698,3260.765,-68.45101,-9.80665
699,3260.0793,-68.54908,-9.80665
700,3259.3928,-68.64715,-9.80665
701,3258.7053,-68.74522,-9.80665
